company_name,openfda_substance_name,openfda_pharm_class_pe,initial_posting_date,update_type,openfda_route,generic_name,openfda_rxcui,related_info_link,openfda_spl_set_id,update_date,openfda_product_type,discontinued_date,therapeutic_category,openfda_brand_name,openfda_product_ndc,openfda_manufacturer_name,openfda_spl_id,openfda_package_ndc,presentation,dosage_form,availability,openfda_nui,openfda_application_number,openfda_pharm_class_cs,openfda_generic_name,openfda_pharm_class_epc,resolved_note,status,shortage_reason,related_info,change_date,openfda_unii,package_ndc,contact_info,openfda_pharm_class_moa
"Hikma Pharmaceuticals USA, Inc.",LIDOCAINE HYDROCHLORIDE,,06/13/2018,Revised,"EPIDURAL, INFILTRATION, INTRACAUDAL",Lidocaine Hydrochloride Injection,"1737566, 1737761",,1631e5ca-03d0-4d3b-91e3-2dc14f4eb0e1,07/23/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,LIDOCAINE HYDROCHLORIDE,"0143-9594, 0143-9595",Hikma Pharmaceuticals USA Inc.,94a2c3cf-9d57-4185-884d-e52af6c139c8,"0143-9595-01, 0143-9595-25, 0143-9594-01, 0143-9594-25","Lidocaine Hydrochloride, Preservative Free, Injection, 20 mg/1 mL (NDC 0143-9594-25)",Injection,Available,,ANDA084625,,LIDOCAINE HYDROCHLORIDE,,,Current,,Additional lots are scheduled to be manufactured.  Product will be made available as it is released.,,V13007Z41A,0143-9594-25,800-631-2174,
Takeda Pharmaceuticals USA Inc.,PARATHYROID HORMONE,,09/11/2019,Reverified,SUBCUTANEOUS,Parathyroid Hormone Injection,"1602023, 1602028, 1602032, 1602034, 1602038, 1602040, 1602044, 1602046",,d11fba31-0a6c-11e3-8ffd-0800200c9a66,08/15/2025,HUMAN PRESCRIPTION DRUG,,Endocrinology/Metabolism,NATPARA (PARATHYROID HORMONE),"68875-0205, 68875-0202, 68875-0203, 68875-0204","Takeda Pharmaceuticals America, Inc.",17d2bb82-605c-43be-9918-63aeb7102d8c,"68875-0202-1, 68875-0202-2, 68875-0203-1, 68875-0203-2, 68875-0204-1, 68875-0204-2, 68875-0205-1, 68875-0205-2","Natpara, Injection, 100 ug/.08 mL, Injection, Powder, Lyophilized, For Solution (NDC 68875-0205-2)",Powder,Unavailable,"M0015931, N0000180851",BLA125511,Parathyroid Hormone [CS],PARATHYROID HORMONE,Parathyroid Hormone [EPC],,Current,Discontinuation of the manufacture of the drug,The 100 Mcg Cartridge Is No Longer Available And Takeda Is Unable To Resupply Prior To Ceasing Of Manufacturing Of Natpara At The End Of 2024.,,N19A0T0E5J,68875-0205-2,866-888-0660,
"Hospira, Inc., a Pfizer Company","BUPIVACAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE",,02/20/2018,Revised,"EPIDURAL, INTRACAUDAL, PERINEURAL","Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","1012377, 1012384, 1012396, 1012404, 1672917, 1672919, 1724786, 1724787, 1724880, 1724884, 1725078, 1725082, 1867594, 1867596",,02a845c3-4521-4926-e397-25ab536e7cf6,08/15/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,"0409-9045, 0409-1159, 0409-1160, 0409-1162, 0409-1163, 0409-1165, 0409-9043, 0409-9046, 0409-9042","Hospira, Inc.",3c6a5b9f-4ea0-4ccd-a384-a90e4ad379e7,"0409-1159-18, 0409-1159-01, 0409-1159-19, 0409-1159-02, 0409-1160-18, 0409-1160-01, 0409-1162-18, 0409-1162-01, 0409-1162-19, 0409-1162-02, 0409-1163-18, 0409-1163-01, 0409-1165-18, 0409-1165-01, 0409-1165-19, 0409-1165-02, 0409-9043-11, 0409-9043-01, 0409-9046-11, 0409-9046-01, 0409-9045-11, 0409-9045-01, 0409-9045-16, 0409-9045-17, 0409-9042-11, 0409-9042-01, 0409-9042-16, 0409-9042-17","Bupivacaine Hydrochloride and Epinephrine, Injection, 150 mg/30 mL (5 mg/mL) (NDC 0409-9045-17)",Injection,Unavailable,,ANDA071168,,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE,,,Current,Other,Shortage per Manufacturer: Manufacturing Delay,,"30Q7KI53AK, 7TQO7W3VT8",0409-9045-17,844-646-4398,
"Teva Pharmaceuticals USA, Inc.",CLONAZEPAM,,03/10/2023,Revised,ORAL,Clonazepam Tablet,"197527, 197528, 197529",,8069b1a0-7c06-4252-b44e-e2eef065d9b8,09/15/2025,HUMAN PRESCRIPTION DRUG,,"Neurology, Pediatric, Psychiatry",CLONAZEPAM,"0093-3213, 0093-0832, 0093-3212","Teva Pharmaceuticals USA, Inc.",d6abe4e3-7699-4ead-95f4-739a961b23ad,"0093-0832-01, 0093-0832-05, 0093-3212-01, 0093-3212-05, 0093-3213-01, 0093-3213-05","Clonazepam, Tablet, 2 mg (NDC 0093-3213-01)",Tablet,Available,"N0000175694, M0002356",ANDA074569,Benzodiazepines [CS],CLONAZEPAM,Benzodiazepine [EPC],,Current,Other,,,5PE9FDE8GB,0093-3213-01,800-545-8800,
Aurobindo Pharma USA,"AMLODIPINE BESYLATE, BENAZEPRIL HYDROCHLORIDE",,03/04/2025,New,ORAL,Amlodipine Besylate; Benazepril Hydrochloride Capsule,"898342, 898346, 898350, 898353, 898356, 898359",,99ed4927-9a34-4e8d-8eea-60b63c867d46,03/04/2025,HUMAN PRESCRIPTION DRUG,03/04/2025,Cardiovascular,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,"65862-585, 65862-582, 65862-583, 65862-584, 65862-586, 65862-587",Aurobindo Pharma Limited,a45ec3e8-1d14-4c27-9685-976323df8cad,"65862-582-01, 65862-582-05, 65862-583-01, 65862-583-05, 65862-584-01, 65862-584-05, 65862-585-01, 65862-585-05, 65862-586-01, 65862-586-05, 65862-587-01, 65862-587-05","Amlodipine Besylate; Benazepril Hydrochloride, Capsule, 5 mg; 40 mg (NDC 65862-585-01)",Capsule,,,ANDA202239,,AMLODIPINE AND BENAZEPRIL HYDROCHLORIDE,,,To Be Discontinued,,,,"864V2Q084H, N1SN99T69T",65862-585-01,866-850-2876,
"Teva Pharmaceuticals USA, Inc.",METHYLPHENIDATE HYDROCHLORIDE,,07/26/2023,Revised,ORAL,"Methylphenidate Hydrochloride Tablet, Extended Release","1091155, 1091170, 1091185, 1091210",,85ef422d-af27-4126-9841-6892af1871d6,09/15/2025,HUMAN PRESCRIPTION DRUG,,Psychiatry,METHYLPHENIDATE HYDROCHLORIDE,"62037-734, 62037-725, 62037-726, 62037-727","Actavis Pharma, Inc.",794291a5-d481-4cfe-9dbb-2d1391bb68d5,"62037-725-01, 62037-734-01, 62037-726-01, 62037-727-01","Methylphenidate Hydrochloride Extended-Release Tablets, USP   CII, Tablet, Extended Release, 27 mg (NDC 62037-734-01)",Tablet,Available,,ANDA076772,,METHYLPHENIDATE HYDROCHLORIDE,,,Current,,,,4B3SC438HI,62037-734-01,800-545-8800,
Watson Pharma Private Limited,POTASSIUM CITRATE,,07/17/2025,New,ORAL,"Potassium Citrate Tablet, Extended Release","199376, 199381, 898490",,ac173781-486b-461c-97ae-8b5c69e20792,07/17/2025,HUMAN PRESCRIPTION DRUG,07/17/2025,Renal,POTASSIUM CITRATE,"0591-2729, 0591-2682, 0591-2742","Actavis Pharma, Inc.",b81078a3-490a-4a03-a9a5-9c64acde67bf,"0591-2682-01, 0591-2729-01, 0591-2742-01","Potassium Citrate, Tablet, Extended Release, 10 meq (NDC 0591-2729-01)",Tablet,,,ANDA209758,,POTASSIUM CITRATE,,,To Be Discontinued,,A business decision was made to discontinue.,,EE90ONI6FF,0591-2729-01,800-545-8800,
"Fresenius Kabi USA, LLC","BUPIVACAINE HYDROCHLORIDE, EPINEPHRINE BITARTRATE",,02/20/2018,Reverified,"EPIDURAL, INFILTRATION, INTRACAUDAL, PERINEURAL","Bupivacaine Hydrochloride, Epinephrine Bitartrate Injection","1672917, 1672919, 1673296, 1673298, 1724880, 1724881, 1724884, 1724885, 1725078, 1725082, 1725175, 1725177, 1012391, 1012396, 1012404, 1012421, 1012455, 1012457",,"dcf3c0ad-9eb8-4ee7-96df-d0db7ff23175, eb6d8fee-def4-4c96-9972-695e8cea8ea8",09/18/2025,HUMAN PRESCRIPTION DRUG,,Anesthesia,SENSORCAINE MPF,"63323-462, 63323-464, 63323-466, 63323-465, 63323-467, 63323-460","Fresenius Kabi USA, LLC","13a48007-3784-46f2-bd4d-da1004186b81, 2b1a1f80-cb29-4ac1-9e72-20225ed45715","63323-462-03, 63323-462-38, 63323-464-09, 63323-464-39, 63323-466-09, 63323-466-39, 63323-465-01, 63323-465-57, 63323-467-01, 63323-467-57, 63323-460-01, 63323-460-37, 63323-464-02, 63323-464-37, 63323-464-03, 63323-464-31, 63323-466-01, 63323-466-37, 63323-466-02, 63323-466-31, 63323-462-04, 63323-462-17, 63323-462-01, 63323-462-37, 63323-462-02, 63323-462-31","Sensorcaine, Injection, 5 mg/1 mL; .005 mg/1 mL (NDC 63323-462-17)",Injection,Available,,NDA018304,,BUPIVACAINE HYDROCHLORIDE AND EPINEPHRINE BITARTRATE,,,Current,,Check wholesalers for inventory,,"30Q7KI53AK, 7TQO7W3VT8",63323-462-17,888-386-1300,
Baxter Healthcare,CLINDAMYCIN PHOSPHATE,,03/21/2023,Revised,INTRAVENOUS,Clindamycin Phosphate Injection,"309335, 309336, 309339",,78832ac6-04c5-45e0-ae4d-f56d7920dda9,09/23/2025,HUMAN PRESCRIPTION DRUG,,Anti-Infective,CLINDAMYCIN PHOSPHATE,"0338-3410, 0338-3612, 0338-3814",Baxter Healthcare Company,9373fc85-1d70-4907-842a-ae9e2a3958b3,"0338-3410-50, 0338-3410-24, 0338-3612-50, 0338-3612-24, 0338-3814-50, 0338-3814-24","Clindamycin Phosphate, Injection, 300 mg/50 mL (NDC 0338-3410-50)",Injection,Available,,ANDA208084,,CLINDAMYCIN PHOSPHATE,,,Current,,,,EH6D7113I8,0338-3410-50,888-229-0001,
Eugia US LLC,DEXAMETHASONE SODIUM PHOSPHATE,,02/08/2019,Revised,"INTRA-ARTICULAR, INTRALESIONAL, INTRAMUSCULAR, INTRAVENOUS, SOFT TISSUE",Dexamethasone Sodium Phosphate Injection,"1116927, 1812194",,ce7ad5a4-a9c5-42d6-87cc-ca16556208d2,09/05/2025,HUMAN PRESCRIPTION DRUG,,"Dermatology, Endocrinology/Metabolism, Gastroenterology, Hematology, Neurology, Oncology, Ophthalmology, Other, Pulmonary/Allergy, Rheumatology",DEXAMETHASONE SODIUM PHOSPHATE,"55150-238, 55150-237, 55150-239",Eugia US LLC,34b1362a-f970-485f-bdac-3a02217157c9,"55150-237-01, 55150-238-05, 55150-239-30","Dexamethasone Sodium Phosphate, Injection, 4 mg/1 mL (NDC 55150-238-05)",Injection,Unavailable,,ANDA206781,,DEXAMETHASONE SODIUM PHOSPHATE,,,Current,Demand increase for the drug,On backorder. Recovery: TBD. Check wholesalers for inventory,,AI9376Y64P,55150-238-05,888-238-7880,
