date,raw_material,quantity_used,batch_yield,bioreactor_utilization
2023-01-01,MediaA,502,466,0.75
2023-01-01,MediaB,471,428,0.74
2023-01-01,ReagentX,474,424,0.78
2023-01-01,ReagentY,503,463,0.71
2023-01-08,MediaA,401,369,0.93
2023-01-08,MediaB,529,459,0.75
2023-01-08,ReagentX,457,412,0.81
2023-01-08,ReagentY,448,404,0.8
2023-01-15,MediaA,587,520,0.81
2023-01-15,MediaB,574,523,0.8
2023-01-15,ReagentX,463,415,0.91
2023-01-15,ReagentY,534,463,0.72
2023-01-22,MediaA,531,501,0.84
2023-01-22,MediaB,408,347,0.76
2023-01-22,ReagentX,491,438,0.73
2023-01-22,ReagentY,407,347,0.93
2023-01-29,MediaA,563,488,0.89
2023-01-29,MediaB,533,464,0.84
2023-01-29,ReagentX,590,551,0.81
2023-01-29,ReagentY,589,555,0.88
2023-02-05,MediaA,414,355,0.75
2023-02-05,MediaB,589,519,0.8
2023-02-05,ReagentX,481,434,0.85
2023-02-05,ReagentY,587,530,0.74
2023-02-12,MediaA,414,358,0.7
2023-02-12,MediaB,408,378,0.75
2023-02-12,ReagentX,462,430,0.88
2023-02-12,ReagentY,562,522,0.85
2023-02-19,MediaA,440,414,0.91
2023-02-19,MediaB,411,362,0.72
2023-02-19,ReagentX,550,504,0.87
2023-02-19,ReagentY,571,521,0.92
2023-02-26,MediaA,592,525,0.94
2023-02-26,MediaB,530,490,0.84
2023-02-26,ReagentX,541,486,0.83
2023-02-26,ReagentY,414,356,0.81
2023-03-05,MediaA,578,493,0.86
2023-03-05,MediaB,451,408,0.87
2023-03-05,ReagentX,550,500,0.83
2023-03-05,ReagentY,428,373,0.72
2023-03-12,MediaA,586,538,0.92
2023-03-12,MediaB,569,529,0.86
2023-03-12,ReagentX,533,477,0.75
2023-03-12,ReagentY,483,453,0.83
2023-03-19,MediaA,491,434,0.93
2023-03-19,MediaB,528,460,0.81
2023-03-19,ReagentX,515,455,0.78
2023-03-19,ReagentY,597,537,0.8
2023-03-26,MediaA,564,518,0.77
2023-03-26,MediaB,551,520,0.78
2023-03-26,ReagentX,495,448,0.8
2023-03-26,ReagentY,461,436,0.94
2023-04-02,MediaA,438,394,0.78
2023-04-02,MediaB,512,486,0.77
2023-04-02,ReagentX,401,361,0.71
2023-04-02,ReagentY,528,461,0.74
2023-04-09,MediaA,571,510,0.84
2023-04-09,MediaB,467,400,0.79
2023-04-09,ReagentX,544,502,0.79
2023-04-09,ReagentY,515,488,0.8
2023-04-16,MediaA,543,506,0.78
2023-04-16,MediaB,469,431,0.91
2023-04-16,ReagentX,586,511,0.88
2023-04-16,ReagentY,546,483,0.72
2023-04-23,MediaA,560,498,0.83
2023-04-23,MediaB,503,434,0.79
2023-04-23,ReagentX,577,543,0.92
2023-04-23,ReagentY,498,434,0.74
2023-04-30,MediaA,511,462,0.83
2023-04-30,MediaB,401,380,0.94
2023-04-30,ReagentX,596,560,0.86
2023-04-30,ReagentY,408,358,0.88
2023-05-07,MediaA,530,495,0.8
2023-05-07,MediaB,560,511,0.72
2023-05-07,ReagentX,599,556,0.87
2023-05-07,ReagentY,511,439,0.87
2023-05-14,MediaA,492,432,0.78
2023-05-14,MediaB,593,545,0.86
2023-05-14,ReagentX,568,492,0.7
2023-05-14,ReagentY,541,477,0.89
2023-05-21,MediaA,527,487,0.88
2023-05-21,MediaB,527,477,0.72
2023-05-21,ReagentX,514,469,0.76
2023-05-21,ReagentY,557,527,0.8
2023-05-28,MediaA,581,546,0.81
2023-05-28,MediaB,420,378,0.84
2023-05-28,ReagentX,591,553,0.76
2023-05-28,ReagentY,447,392,0.71
2023-06-04,MediaA,448,382,0.95
2023-06-04,MediaB,557,526,0.93
2023-06-04,ReagentX,498,460,0.94
2023-06-04,ReagentY,492,439,0.94
2023-06-11,MediaA,498,472,0.72
2023-06-11,MediaB,559,522,0.78
2023-06-11,ReagentX,527,467,0.8
2023-06-11,ReagentY,453,416,0.84
2023-06-18,MediaA,423,368,0.87
2023-06-18,MediaB,550,475,0.83
2023-06-18,ReagentX,529,466,0.91
2023-06-18,ReagentY,536,493,0.79
2023-06-25,MediaA,569,529,0.9
2023-06-25,MediaB,552,502,0.72
2023-06-25,ReagentX,534,480,0.9
2023-06-25,ReagentY,464,397,0.8
2023-07-02,MediaA,541,507,0.78
2023-07-02,MediaB,491,445,0.81
2023-07-02,ReagentX,590,503,0.82
2023-07-02,ReagentY,462,438,0.91
2023-07-09,MediaA,457,389,0.71
2023-07-09,MediaB,469,412,0.83
2023-07-09,ReagentX,500,451,0.89
2023-07-09,ReagentY,507,462,0.72
2023-07-16,MediaA,508,441,0.8
2023-07-16,MediaB,498,455,0.88
2023-07-16,ReagentX,412,390,0.88
2023-07-16,ReagentY,546,507,0.77
2023-07-23,MediaA,491,453,0.76
2023-07-23,MediaB,516,442,0.81
2023-07-23,ReagentX,539,480,0.74
2023-07-23,ReagentY,400,357,0.76
2023-07-30,MediaA,517,476,0.87
2023-07-30,MediaB,516,471,0.83
2023-07-30,ReagentX,591,535,0.85
2023-07-30,ReagentY,594,519,0.79
2023-08-06,MediaA,485,412,0.73
2023-08-06,MediaB,468,402,0.78
2023-08-06,ReagentX,589,542,0.82
2023-08-06,ReagentY,575,535,0.79
2023-08-13,MediaA,500,444,0.85
2023-08-13,MediaB,468,439,0.77
2023-08-13,ReagentX,537,490,0.83
2023-08-13,ReagentY,400,361,0.87
2023-08-20,MediaA,415,355,0.86
2023-08-20,MediaB,527,481,0.9
2023-08-20,ReagentX,539,479,0.86
2023-08-20,ReagentY,560,521,0.91
2023-08-27,MediaA,411,365,0.94
2023-08-27,MediaB,473,411,0.77
2023-08-27,ReagentX,411,353,0.7
2023-08-27,ReagentY,434,383,0.86
2023-09-03,MediaA,492,459,0.71
2023-09-03,MediaB,561,491,0.82
2023-09-03,ReagentX,457,420,0.86
2023-09-03,ReagentY,556,474,0.8
2023-09-10,MediaA,563,488,0.89
2023-09-10,MediaB,591,536,0.88
2023-09-10,ReagentX,435,385,0.89
2023-09-10,ReagentY,551,516,0.84
2023-09-17,MediaA,411,366,0.89
2023-09-17,MediaB,498,428,0.93
2023-09-17,ReagentX,461,414,0.8
2023-09-17,ReagentY,540,507,0.8
2023-09-24,MediaA,539,509,0.91
2023-09-24,MediaB,408,359,0.94
2023-09-24,ReagentX,527,473,0.82
2023-09-24,ReagentY,543,485,0.77
2023-10-01,MediaA,424,383,0.75
2023-10-01,MediaB,452,419,0.9
2023-10-01,ReagentX,508,479,0.94
2023-10-01,ReagentY,541,489,0.81
2023-10-08,MediaA,474,408,0.74
2023-10-08,MediaB,473,441,0.92
2023-10-08,ReagentX,406,362,0.76
2023-10-08,ReagentY,536,499,0.88
2023-10-15,MediaA,404,364,0.76
2023-10-15,MediaB,535,474,0.79
2023-10-15,ReagentX,544,513,0.95
2023-10-15,ReagentY,531,469,0.88
2023-10-22,MediaA,418,387,0.84
2023-10-22,MediaB,490,428,0.78
2023-10-22,ReagentX,525,472,0.7
2023-10-22,ReagentY,525,449,0.73
2023-10-29,MediaA,460,428,0.89
2023-10-29,MediaB,530,481,0.94
2023-10-29,ReagentX,590,529,0.72
2023-10-29,ReagentY,560,488,0.94
2023-11-05,MediaA,443,419,0.84
2023-11-05,MediaB,446,418,0.83
2023-11-05,ReagentX,563,509,0.94
2023-11-05,ReagentY,545,472,0.75
2023-11-12,MediaA,542,485,0.86
2023-11-12,MediaB,517,459,0.88
2023-11-12,ReagentX,411,388,0.71
